dataset	turn_id	response_type	base_model	tuning	user_experience	user_direction	user_response	not_generic	valid	related	informative	naive	savvy	reasons	informative	comment
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	Llama-2-13b-hf	inquisitive	none	none	What is the difference between a pellet grill and a smoker?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	Llama-2-13b-hf	inquisitive	savvy	implications	Why would you recommend the one from John Lewis and Partners?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	Llama-2-13b-hf	inquisitive	savvy	reasons	What is the difference between a grill and a smoker?	1	0	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	Llama-2-13b-hf	none	naive	implications	What is the difference between charcoal and gas grills?	1	0	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	Llama-2-13b-hf	none	naive	reasons	What are the advantages of a pellet grill over a smoker?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	Llama-2-13b-hf	none	none	none	What are the best grills for charcoal, gas, pellet, or smokers in terms of price, build quality, or size?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	Llama-2-13b-hf	none	savvy	implications	How can I compare the grills in terms of price, build quality, and size?	1	0	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	Llama-2-13b-hf	none	savvy	reasons	What are the good choices for charcoal grills?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	Llama-2-13b-hf	nudged-questions	none	none	What is the best price for a pellet grill?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	Llama-2-13b-hf	treccast	none	none	Okay, what's the third one?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	Llama-2-7b-hf	inquisitive	none	none	Why is the Broil King Regal 500  good value for money?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	Llama-2-7b-hf	none	none	none	What are the types of grills that you can compare?	1	0	1	0	0	0	0	0	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	Llama-2-7b-hf	nudged-questions	none	none	What are the pros and cons of each type of grill?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	generated	Llama-2-7b-hf	treccast	none	none	What’s the difference in terms of build quality?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x11d0bc5cb2831808	original	none	none	none	none	How many variety grills are there?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	alpaca-7b	inquisitive	none	none	What makes these watches more accurate?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	alpaca-7b	none	naive	implications	What accuracy standards does the Citizen Caliber 0100 meet?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	alpaca-7b	none	naive	reasons	Follow-up questions: What factors make a watch more valuable?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	alpaca-7b	none	none	none	In what ways does the Rolex Datejust deviate?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	alpaca-7b	none	savvy	implications	What are the advantages of buying a Rolex Datejust?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	alpaca-7b	none	savvy	reasons	Follow-up questions: What is the difference between Rolex Datejust and Zenith Defy?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	alpaca-7b	nudged-questions	none	none	Is accuracy of a watch determined by the brand or craftsmanship?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	alpaca-7b	treccast	none	none	What about the Zenith Defy 2?	1	1	1	1	0	0	0	1	asks for something beyond text
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	gpt-4	none	naive	implications	How much does the Rolex Datejust deviate by in a year?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	gpt-4	none	naive	reasons	Why is craftsmanship important when buying a mechanical watch?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	gpt-4	none	none	none	What exactly is considered craftsmanship in mechanical watches?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	gpt-4	none	none	none	What exactly is considered craftsmanship in mechanical watches?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	gpt-4	none	none	none	What exactly is considered craftsmanship in mechanical watches?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	gpt-4	none	savvy	implications	How do the brand recognition of Rolex Datejust, Zenith Defy, and Citizen Caliber 0100 compare against each other?	1	0	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	gpt-4	none	savvy	reasons	Why does the Rolex Datejust deviate by two seconds per day?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	Llama-2-13b-hf	inquisitive	naive	implications	What is the price range of these watches?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	Llama-2-13b-hf	inquisitive	naive	reasons	How does the Rolex Datejust deviate by two seconds per day?	1	0	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	Llama-2-13b-hf	inquisitive	none	none	Why are the most accurate watches so accurate?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	Llama-2-13b-hf	inquisitive	savvy	implications	How does the Rolex Datejust deviate by two seconds per day?	1	0	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	Llama-2-13b-hf	inquisitive	savvy	reasons	Why is accuracy important in a watch?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	Llama-2-13b-hf	none	naive	implications	What is a Rolex?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	Llama-2-13b-hf	none	naive	reasons	Why is accuracy important?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	Llama-2-13b-hf	none	none	none	Why does brand recognition matter when buying a mechanical watch?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	Llama-2-13b-hf	none	savvy	implications	What is the difference between the Rolex Datejust and the Zenith Defy?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	Llama-2-13b-hf	none	savvy	reasons	What is the difference between the Rolex Datejust and the Zenith Defy?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	Llama-2-13b-hf	nudged-questions	none	none	What is the resale value of a Rolex watch?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	Llama-2-13b-hf	treccast	none	none	What’s the cheapest one?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	Llama-2-7b-hf	inquisitive	none	none	What are the most accurate watches?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	Llama-2-7b-hf	none	none	none	What are some factors that affect the resale value of a mechanical watch?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	Llama-2-7b-hf	nudged-questions	none	none	What are the most accurate watches?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x155b2baee896dcd8	generated	Llama-2-7b-hf	treccast	none	none	What about the durability?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x155b2baee896dcd8	original	none	none	none	none	How long will be the mechanical watch last/	1	0	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	alpaca-7b	inquisitive	none	none	How would the distribution of skills be unequal?	1	0	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	alpaca-7b	none	naive	implications	Follow-up questions: What skills do opponents of the UBI claim it would take away?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	alpaca-7b	none	naive	reasons	What skills would be necessary to receive the UBI payments?	1	0	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	alpaca-7b	none	none	none	Follow-up questions: What opponents argue that the UBI would not improve the distribution of privileges?	1	0	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	alpaca-7b	none	savvy	implications	Follow-up questions: How would the UBI affect the distribution of skills within society?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	alpaca-7b	none	savvy	reasons	What potential impact do you think the UBI will have on the social divide?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	alpaca-7b	nudged-questions	none	none	how would a universal income help people in developing their own skills?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	alpaca-7b	treccast	none	none	What other countries have experimented with universal basic income?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	gpt-4	none	naive	implications	What are the specific skills that could potentially be undeveloped?	1	1	0	1	0	0	0	1	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	gpt-4	none	naive	reasons	How does the unequal distribution of skills lead to the widening of the social divide?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	gpt-4	none	none	none	How does UBI affect the distribution of privileges?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	gpt-4	none	none	none	How does UBI affect the distribution of privileges?	1	1	1	0	0	0	1	0	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	gpt-4	none	none	none	How does UBI affect the distribution of privileges?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	gpt-4	none	savvy	implications	Can you elaborate on what is meant by the "distribution of privileges" in this context, and how proponents of UBI argue it may enhance this?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	gpt-4	none	savvy	reasons	Are there potential mitigating strategies or policies to counteract this risk that UBI might widen the social divide?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	Llama-2-13b-hf	inquisitive	naive	implications	How would the UBI widen the social divide?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	Llama-2-13b-hf	inquisitive	naive	reasons	How does the universal income take away an important incentive for people to work?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	Llama-2-13b-hf	inquisitive	none	none	What are the skills that are developed through work?	1	1	0	0	0	0	0	0	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	Llama-2-13b-hf	inquisitive	savvy	implications	How would the UBI widen the social divide?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	Llama-2-13b-hf	inquisitive	savvy	reasons	Why would it widen the social divide?	1	1	1	0	0	0	1	0	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	Llama-2-13b-hf	none	naive	implications	How would it change the distribution of privileges?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	Llama-2-13b-hf	none	naive	reasons	What is the important privilege that would be developed?	1	0	0	0	0	0	0	0	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	Llama-2-13b-hf	none	none	none	What is the claim opponents of the UBI make?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	Llama-2-13b-hf	none	savvy	implications	What are the skills that the opponents are talking about?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	Llama-2-13b-hf	none	savvy	reasons	What would happen if the incentive was taken away?	1	0	0	0	0	0	0	0	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	Llama-2-13b-hf	nudged-questions	none	none	Why do people oppose the UBI?	1	1	1	0	0	0	1	0	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	Llama-2-13b-hf	treccast	none	none	what are the pros and cons?	0	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	Llama-2-7b-hf	inquisitive	none	none	Why is the UBI an important incentive for people to work?	1	0	1	0	0	0	1	0	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	Llama-2-7b-hf	none	none	none	Why does the text claim that the UBI would not improve the distribution of privileges?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	Llama-2-7b-hf	nudged-questions	none	none	Would it be better for people to work and develop their own skills?	1	1	0	1	0	0	0	1	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	generated	Llama-2-7b-hf	treccast	none	none	How would skills be distributed?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x165b6cbd5fc7f416	original	none	none	none	none	As a result of the limitation, is the equal distribution of skills included in the charter?	1	1	0	1	0	0	0	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	alpaca-7b	inquisitive	none	none	Who is the Museum of Modern Art?	1	0	0	0	0	0	0	0	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	alpaca-7b	none	naive	implications	Who designed the Bauhaus lamp?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	alpaca-7b	none	naive	reasons	What collaborative processes were involved in the development of the lamp?	1	0	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	alpaca-7b	none	none	none	Who were the collaborators involved in its creation?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	alpaca-7b	none	savvy	implications	What were the influences on the design of the Bauhaus lamp?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	alpaca-7b	none	savvy	reasons	Who was Wilhelm Wagenfeld?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	alpaca-7b	nudged-questions	none	none	What is a Bauhaus-style lamp?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	alpaca-7b	treccast	none	none	What were the main principles of the Bauhaus?	1	0	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	gpt-4	none	naive	implications	How does this creation process illustrate the collaborative way of working at the Bauhaus?	1	0	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	gpt-4	none	naive	reasons	What is the Museum of Modern Art in New York and why is the Bauhaus lamp in its collection?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	gpt-4	none	none	none	Are there any controversies or significant stories associated with the creation of the Bauhaus lamp?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	gpt-4	none	none	none	Are there any controversies or significant stories associated with the creation of the Bauhaus lamp?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	gpt-4	none	none	none	Are there any controversies or significant stories associated with the creation of the Bauhaus lamp?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	gpt-4	none	savvy	implications	Are there any modern versions or adaptations of the Bauhaus lamp?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	gpt-4	none	savvy	reasons	What makes the design of the Bauhaus lamp stand out from other works during its time?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	Llama-2-13b-hf	inquisitive	naive	implications	Why is it attributed to him?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	Llama-2-13b-hf	inquisitive	naive	reasons	How was the lamp created?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	Llama-2-13b-hf	inquisitive	none	none	How is the design of the Bauhaus lamp attributed to Wilhelm Wagenfeld?	1	0	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	Llama-2-13b-hf	inquisitive	savvy	implications	Who is Wilhelm Wagenfeld?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	Llama-2-13b-hf	inquisitive	savvy	reasons	Why is it a classic of modern product design?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	Llama-2-13b-hf	none	naive	implications	What is a Bauhaus lamp?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	Llama-2-13b-hf	none	naive	reasons	Who designed it?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	Llama-2-13b-hf	none	none	none	What is the process of its creation?	1	0	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	Llama-2-13b-hf	none	savvy	implications	Where is the lamp located?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	Llama-2-13b-hf	none	savvy	reasons	Who designed the Bauhaus lamp?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	Llama-2-13b-hf	nudged-questions	none	none	What is the Bauhaus lamp?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	Llama-2-13b-hf	treccast	none	none	What inspired the design?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	Llama-2-7b-hf	inquisitive	none	none	How did Wilhelm Wagenfeld come to be attributed to the Bauhaus lamp?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	Llama-2-7b-hf	none	none	none	What is the collaborative way of working at the Bauhaus?	1	0	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	Llama-2-7b-hf	nudged-questions	none	none	Which lamp is the classic of modern product design?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x1669f687530d53ac	generated	Llama-2-7b-hf	treccast	none	none	How did they make it accessible?	1	1	0	1	0	0	0	1	
nudged-questions	nudged-questions--0x1669f687530d53ac	original	none	none	none	none	what collaborates with the ware house?	1	0	0	1	0	0	0	1	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	alpaca-7b	inquisitive	none	none	Why don't people want to work for nothing?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	alpaca-7b	none	naive	implications	What would be the implications if employers did not have an incentive to raise wages or pay?	1	1	0	0	0	0	0	0	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	alpaca-7b	none	naive	reasons	How likely are employers to raise wages?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	alpaca-7b	none	none	none	Follow-up questions: What are some potential negative consequences of the UBI?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	alpaca-7b	none	savvy	implications	Who would work and thus pay for the UBI if employers would have no incentive to raise wages or pay at all?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	alpaca-7b	none	savvy	reasons	What is the concern of employers having no incentive to raise wages or pay if some people work without pay?	1	0	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	alpaca-7b	nudged-questions	none	none	How will people pay for the UBI if they are working for free at least some of the time?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	alpaca-7b	treccast	none	none	How would it affect the current welfare state?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	gpt-4	none	naive	implications	Why do the opponents believe that employers would have no incentive to raise wages if UBI is implemented?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	gpt-4	none	naive	reasons	How would employers lose the incentive to raise wages if UBI is implemented?	1	0	1	0	0	0	1	0	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	gpt-4	none	none	none	How could the implementation of UBI potentially impact the economy?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	gpt-4	none	none	none	How could the implementation of UBI potentially impact the economy?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	gpt-4	none	none	none	How could the implementation of UBI potentially impact the economy?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	gpt-4	none	savvy	implications	How valid is the concern about the potential decrease in employment and resultant fall in revenues to fund UBI?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	gpt-4	none	savvy	reasons	Have there been any experimental or real-world cases where the fears of the opponents of UBI have been realized?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	Llama-2-13b-hf	inquisitive	naive	implications	Why would employers have no incentive to raise wages?	1	1	1	0	0	0	1	0	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	Llama-2-13b-hf	inquisitive	naive	reasons	What are the arguments against the UBI?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	Llama-2-13b-hf	inquisitive	none	none	What would be the incentive for employers to raise wages?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	Llama-2-13b-hf	inquisitive	savvy	implications	How will the UBI be paid for?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	Llama-2-13b-hf	inquisitive	savvy	reasons	How would it undermine the importance of work?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	Llama-2-13b-hf	none	naive	implications	What are the implications of who will work at all?	1	0	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	Llama-2-13b-hf	none	naive	reasons	How will the UBI be paid for?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	Llama-2-13b-hf	none	none	none	What is the importance of work as a social institution?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	Llama-2-13b-hf	none	savvy	implications	How does the UBI affect the importance of work as a social institution?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	Llama-2-13b-hf	none	savvy	reasons	What are the reasons for opponents of the UBI to say that employers would have no incentive to raise wages or pay at all?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	Llama-2-13b-hf	nudged-questions	none	none	Why is work important?	1	1	1	1	0	0	1	1	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	Llama-2-13b-hf	treccast	none	none	What would the alternative be?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	Llama-2-7b-hf	inquisitive	none	none	What are some of the arguments that support the UBI?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	Llama-2-7b-hf	none	none	none	What is the author's argument?	0	1	0	0	0	0	0	0	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	Llama-2-7b-hf	nudged-questions	none	none	What would happen to the people who don't work at all?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	generated	Llama-2-7b-hf	treccast	none	none	what are the drawbacks of UBI?	1	1	1	0	0	0	0	0	
nudged-questions	nudged-questions--0x1866b5ee5407eb25	original	none	none	none	none	Do people have to pay for the UBI?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x19033c75456323df	generated	alpaca-7b	inquisitive	none	none	What does Universal Basic Income look like in terms of the numbers?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x19033c75456323df	generated	alpaca-7b	none	naive	implications	Does it promote social justice?	1	1	1	1	0	0	0	1	
nudged-questions	nudged-questions-0x19033c75456323df	generated	alpaca-7b	none	naive	reasons	How much does UBI cost and how is it funded?	1	1	1	1	0	0	0	1	
